nctId,type,statement
NCT03368807,Exclusion,Currently undergoing systemic treatment with: Immunosuppressive medication Chronic (lasting longer than 2 weeks) systemic glucocorticoid therapy (excluding topical and inhaled preparations) or have received such therapy within the prior 2 weeks
NCT00385697,Inclusion,"One positive result on testing for any of the following antibodies: islet-cell autoantibodies (ICA512/IA-2), glutamic acid decarboxylase autoantibodies, or insulin autoantibodies (if present during first 2 weeks, but not beyond 2 weeks, of insulin treatment)"
NCT00385697,Inclusion,Subject must be in one of the following age groups: Age 18-35 years Age 12-17 years pending approval by Data Monitoring Committee Age 8-11 years pending approval by Data Monitoring Committee
NCT05363761,Exclusion,Currently taking the following medications within 90 days prior to screening and/or there is a need or anticipated need for these medications during the study: Systemic Corticosteroids Anticonvulsants Centrally acting sympatholytics
NCT06037252,Exclusion,"Have any of the following cardiovascular (CV) conditions within 2 months prior to screening. acute myocardial infarction. cerebrovascular accident (stroke). unstable angina . hospitalization due to congestive heart failure, or coronary artery revascularization."
NCT05462756,Exclusion,"Are currently receiving any of the following insulin therapies anytime in the past 90 days: insulin mixtures insulin human, inhalation powder, or continuous subcutaneous insulin infusion therapy, or regular insulin U-500"
NCT01871428,Exclusion,"Diagnosis or history of: Type 1 diabetes mellitus, diabetes resulting from pancreatic injury, or secondary forms of diabetes Acute metabolic diabetic complications such as ketoacidosis or hyperosmolar coma within the past 6 months"
NCT04255433,Exclusion,"Have a serum calcitonin level at screening of: (based on central laboratory results) ≥20 ng/L at Visit 1, if eGFR ≥60 mL/min/1.73
m2, or ≥35 ng/L at Visit 1, if eGFR <60 mL/min/1.73
m2"
NCT02079805,Exclusion,"Receiving or requiring any of the following at the time of informed consent: Insulin, glucagon-like peptide-1 (GLP-1) receptor agonists, or other parenteral hypoglycemic agents Combination therapy with 3 or more oral hypoglycemic agents"
NCT00995345,Exclusion,"Presence of any of the following conditions: Significant renal impairment (glomerular filtration rate less than 60 mL/min); Diabetic gastroparesis; Active liver disease (other than asymptomatic nonalcoholic fatty liver disease), cirrhosis, or symptomatic gallbladder disease;"
NCT00770445,Inclusion,Treatment with the following insulins with or without Oral Antidiabetic Therapy since 3 months: Long acting basal insulin analogs NPH insulin Combination insulin with 1-2 daily doses except intensified insulin therapies.
NCT04285554,Exclusion,Currently taking the following medications within 90 days prior to screening and/or there is a need or anticipated need for these medications during the study: Systemic corticosteroids Anticonvulsants Centrally acting sympatholytics
NCT00527735,Exclusion,"Prior systemic therapy for lung cancer.
Prior radiation therapy or locoregional surgeries performed later than at least 3 weeks prior to randomization date were allowed. Grade 2 peripheral neuropathy (motor or sensory)"
NCT00373425,Inclusion,Able to start drug under the following timelines: 6 months from the day of surgery for patients who get chemotherapy 3 months from the day of surgery for those who do not get chemotherapy
NCT04541706,Inclusion,"Adequate hematologic and renal function as defined as: Absolute neutrophil count (ANC) ≥1,000/mm3; Platelets ≥50,000/mm3; Hemoglobin ≥8 g/dL; Estimated creatinine clearance ≥30 mL/min as calculated using the method standard for the institution."
NCT04541706,Inclusion,"Adequate liver function, including: Total serum bilirubin ≤1.5 × upper limit of normal (ULN); Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤2.5 × ULN (≤5.0 × ULN in case of liver metastases)."
NCT04541706,Inclusion,"Adequate pancreatic function, including: Serum total amylase ≤1.5 × ULN.* Serum lipase <1.5 × ULN.
*if total amylase >1.5 × ULN, but pancreatic amylase is within the ULN, the participant may be enrolled."
NCT01803282,Inclusion,Part B: Esophagogastric Adenocarcinoma: Histologically confirmed inoperable advanced gastric adenocarcinoma (including adenocarcinoma of the gastrooesophageal junction) or relapsed gastric adenocarcinoma Human epidermal growth factor receptor 2 (HER2)-negative tumor (primary tumor or metastatic lesion)
NCT02451930,Inclusion,The participant has Stage IV NSCLC. Part A: NSCLC Stage IV (any type) Part B: NSCLC Stage IV (squamous and nonsquamous) Part C: NSCLC Stage IV in Japanese participants (squamous and nonsquamous)
NCT03023423,Exclusion,"Received any of the following prescribed medications or therapies in the past: Anti-cluster of differentiation(CD)38 therapy, including daratumumab CD137 agonists, immune checkpoint inhibitors including but not limited to CTLA-4, anti-PD-1, and anti-PD-L1 therapies"
NCT00540514,Inclusion,Patient has the following blood counts at baseline: Absolute neutrophil count (ANC) greater than or equal to 1.5x10^9/L Platelets greater than or equal to 100x10^9/L Hemoglobin (Hgb) greater than or equal to 9 g/dL
NCT02395172,Exclusion,"All participants with brain metastases, except those meeting the following criteria: Brain metastases have been treated locally, and No ongoing neurological symptoms that are related to the brain localization of the disease"
NCT03743064,Exclusion,"Patient with cachexia caused by other reasons, as determined by the investigator such as: Severe COPD requiring use of home O2, New York Heart Association (NYHA) class III-IV heart failure AIDS Uncontrolled thyroid disease"
NCT04416633,Exclusion,For NSCLC cohort only: Mixed small cell and non-small cell lung cancer histology Any unresolved toxicity CTCAE >Grade 2 from the prior chemoradiation therapy. Patients with ≥Grade 2 pneumonitis from prior chemoradiation therapy
NCT03909971,Inclusion,"Subject should have: (in Cohort 1) Disease progression after crizotinib as the only ALK inhibitor; (in Cohort 2) Disease progression after one ALK inhibitor other than crizotinib, with or without prior crizotinib."
NCT03743051,Exclusion,"Patient with cachexia caused by other reasons, as determined by the investigator such as: Severe COPD requiring use of home O2, New York Heart Association (NYHA) class III-IV heart failure AIDS Uncontrolled thyroid disease"
NCT05380388,Exclusion,Finding on safety laboratory values as defined below: Abnormal ALT [>upper normal range] Abnormal serum creatinine [>upper normal range] Clinically significant abnormalities in corrected calcium and magnesium blood levels Haemoglobin < 11 g/dL
NCT02573857,Inclusion,"Normal vital signs after 5 minutes resting in supine position: 90 mmHg < systolic blood pressure (SBP) <140 mmHg, 50 mmHg < diastolic blood pressure (DBP) <90 mmHg, 40 bpm< heart rate (HR) <100 bpm."
NCT02389439,Exclusion,"Signs or symptoms indicative of severe malaria: Impaired consciousness (Blantyre Coma Score <5) Severe anaemia (Hct<15%) Bleeding disorder -evidenced by epistaxis, bleeding gums, frank haematuria, bleeding from venepuncture sites Respiratory distress Severe jaundice"
NCT05252845,Exclusion,Administration of immunoglobulins and/or any blood products during the period starting three months before the first dose of study vaccine or planned administration during the study period. subject to the investigator's judgement
NCT02610400,Inclusion,"Index Case Investigation Inclusion Criteria: Malaria infection (either locally transmitted or imported) detected at a health facility via passive surveillance, and Resides in a study Enumeration Area (EA), and Provides informed consent"
NCT04230161,Inclusion,Cross sectional survey: Households in the district. Residents of the household visited. Questionnaire: any adult member of the household . Malaria screening: all members aged 6 months or older from the above consenting household.
NCT02511054,Exclusion,"Psychiatric condition that precludes compliance with the protocol including but not limited to: Psychosis within the past 3 years Ongoing risk for suicide, or history of suicide attempt or gesture within the past 3 years"
NCT02783833,Exclusion,Subject positive for any of the following Anti-human immunodeficiency virus 1 or 2 antibodies (anti-HIV1 or anti-HIV2 Ab) (ELISA) Hepatitis B surface antigen (HBsAg) Anti-hepatitis B core antibodies (anti-HBcAb) Anti-hepatitis C antibodies (anti-HCV)
NCT02123290,Inclusion,"Mono-infection of P. falciparum or P. vivax confirmed by: Fever, or history of fever in the previous 24 hours and, Microscopically confirmed parasite infection: 1,000 to 35,000 asexual parasite count/µL blood"
NCT01976416,Exclusion,Pre-existing severe hematological toxicity: Hb <4.0 g/dL Hb <6.0 g/dL AND ARC <100 x 10E9/L Hb <7.0 g/dL AND ARC <80 x 10E9/L Platelets <80 x 10E9/L ANC <1.0 x 10E9/L
NCT04280692,Exclusion,"Confirmed parasite positive by PCR a day before challenge i.e. at C-1. Exclusion Criterion on Day of Challenge Acute disease, defined as moderate or severe illness with or without fever (temperature >37.5 degrees Celcius)."
NCT04300309,Exclusion,"HIV status : in Cohort 1, patient's or patient's mother's current treatment with ARV in Cohort 2, mother's known HIV positive status at patient's birth or mother's current treatment with ARV"
NCT04300309,Exclusion,"Presence of any clinically significant neurological condition: any episode of convulsion during the present illness (in keeping with the IMCI list of general danger signs) known neurological disorders (e.g.
chronic seizure disorders, cerebral palsy)"
NCT02488902,Inclusion,Willing subjects in good general health. Males aged 18 to 60; females aged 50 to 60. Subjects who planned to stay in the study area until the end of the study.
NCT02783820,Exclusion,Subject positive for any of the following Anti-human immunodeficiency virus 1 or 2 antibodies (anti-HIV1 or anti-HIV2 Ab) (ELISA) Hepatitis B surface antigen (HBsAg) Anti-hepatitis B core antibodies (anti-HBcAb) Anti-hepatitis C antibodies (anti-HCV)
NCT03083847,Exclusion,"Psychiatric condition that precludes compliance with the protocol including but not limited to: Psychosis within the past 3 years Ongoing risk for suicide, or history of suicide attempt or gesture within the past 3 years"
NCT02639299,Exclusion,"Psychiatric condition that precludes compliance with the protocol including but not limited to: Psychosis within the past 3 years Ongoing risk for suicide, or history of suicide attempt or gesture within the past 3 years"
NCT05287893,Inclusion,"Vital signs at screening (measured after 5 min in the supine position): Systolic blood pressure (SBP) - 90-140 mmHg, Diastolic blood pressure (DBP) - 40-90 mmHg, Heart rate (HR) 40-100 bpm."
NCT05925920,Exclusion,"Use of medications affecting body weight within the past three months: Drugs approved for the treatment of obesity Cyproheptadine or medroxyprogesterone Atypical anti-psychotic drugs Tricyclic antidepressants Lithium, MAO's, glucocorticoids SSRI's or SNRI's Antiepileptic drugs"
NCT05369065,Exclusion,Currently taking the following medications within 90 days prior to screening and/or there is a need or anticipated need for these medications during the study: Systemic Corticosteroids Anticonvulsants Centrally acting sympatholytics
NCT01499082,Inclusion,Substudy inclusion criteria: Completion of the 6-month study period in main study (Visit 10) Randomized and treated with insulin glargine new formulation during the 6-month treatment period (Baseline - month 6)
NCT00500331,Exclusion,Diabetic Medication Has taken insulin or any oral or injectable anti-diabetic medication ≥4 weeks at any time prior to screening. Has taken insulin or any oral or injectable anti-diabetic medication within 3 months of screening.
NCT00570739,Inclusion,"Previous diagnosis of: T2DM or prediabetes, to be enrolled in the respective cohorts, or CHD, CVD, and/or primary hypercholesterolemia + BMI greater than or equal to 25 mg/kg2 to be screened for T2DM or pre-diabetes."
NCT06258148,Exclusion,"3. Received any of the following medications: Prior discontinuation of DPP-4 inhibitors or GLP-1 receptor agonists for efficacy, tolerability, and safety reasons; Systemic glucocorticoid and growth hormone have been used within 8 weeks before screening;"
NCT06258148,Exclusion,ii. Laboratory tests show any of the following abnormalities: FPG≥13.9 mmol/L; ALT or AST≥2.5×ULN; Total bilirubin (TBiL) ≥2.0×ULN; Triglyceride >5.7 mmol/L; eGFR<45 mL/(min*1.73 m^2); Serum amylase and/or lipase ≥3×ULN; Hemoglobin <100 g/L; Calcitonin≥50 ng/L(pg/mL);
NCT05362058,Inclusion,"These antihyperglycemic medications are accepted in the study dipeptidyl peptidase-4 (DPP-4) inhibitors sodium-glucose cotransporter 2 (SGLT2) inhibitors biguanides, such as metformin alpha-glucosidase inhibitors glucagon-like peptide-1 (GLP-1) receptor agonists, oral or injectable Sulfonylureas, or Thiazolidinediones."
NCT00770835,Exclusion,Is unable to remain on a stable dose of the following class of medications 30 days prior to randomization and throughout the six months of the study: antihypertensives statins other hypolipidemic and antiplatelet drugs
NCT03202563,Exclusion,Patients with a history of hypersensitivity reactions to the drugs below Gemigliptin or drugs belonging to dipeptidyl-peptidase4(DPP4) inhibitors Dapagliflozin or drugs belonging to Sodium/glucose co transport-2(SGLT-2) inhibitor Metformin or drugs belonging to biguanides
NCT00196989,Exclusion,History of cancer except for the following: Basal cell carcinoma or superficial squamous cell carcinoma treated by local excision. Cervical cancer in situ treated definitively more than 6 months prior to screening.
NCT00320060,Inclusion,Patients with diagnosis of diabetic nephropathy as defined by Serum Creatinine <=2.0 mg/dL at weeks -2 and -1 Urinary albumin excretion >=300 mg/24 hours at week -2 Diagnosis of diabetic retinopathy
NCT00870194,Inclusion,"Patients have been treated with a stable dose of the following for at least 3 months prior to screening: 100 mg/day sitagliptin and ≥1500 mg/day metformin, or maximum tolerated dose (extended release or immediate-release)."
NCT00832624,Inclusion,Patients Who Are 18 Years Of Age With Type 2 Diabetes Mellitus Who Are Either: Not On Antihyperglycemic (AHa) Medication (Off For At Least 2 Months) Or On A Single AHa
NCT02175121,Inclusion,HbA1c value at the screening visit meeting once of the following criteria: Currently taking acceptable oral antiglycemic drug therapy within 6.5 to 9.5% Not currently taking any oral antiglycemic drug therapy within 7 to 10.5%
NCT02183350,Inclusion,Glycosylated haemoglobin A1 (HbA1c) ≤ 8.5 % at screening for patients treated with diet and exercise and/or one oral hypoglycaemic agent or ≤ 8.0 % at screening for patients treated with two oral hypoglycaemic agents
NCT01499095,Inclusion,Substudy inclusion criteria: Completion of the 6-month study period in main study (Visit 10) Randomized and treated with insulin glargine new formulation during the 6- month treatment period (Baseline - Month 6)
NCT00495469,Exclusion,"Diabetic Medication Has taken insulin, or any oral or injectable anti-diabetic medication within 3 months of screening Has taken insulin or any oral or injectable anti-diabetic medication ≥4 weeks at any time in the past"
NCT02426541,Inclusion,"Female subjects must be of non-childbearing potential, meeting at least one of the following criteria: Hysterectomized females Postmenopausal women, defined as women who have not had a menstrual period within 1 year"
NCT02183324,Inclusion,Glycosylated haemoglobin A1 (HbA1c) <= 8.5% at screening for patients treated with diet and/or exercise and/or one oral hypoglycaemic agent or <= 8.0% at screening for patients treated with two oral hypoglycaemic agents
NCT05689099,Exclusion,"Abuse or intake of drugs, defined as any of the below: Known or suspected drug or chemical substance abuse within 1 year before screening Positive drug of abuse test at screening"
NCT00521742,Exclusion,"Any of the following: myocardial infarction coronary angioplasty or bypass graft unstable angina pectoris transient ischemic attacks documented cerebrovascular accident.
9. Abdominal, thoracic, or vascular surgery during the 3 months prior to Visit 1."
NCT05238142,Inclusion,Is willing to take one of the following insulins and can financially support the use of insulin preparations as required by the study: Humalog (insulin lispro injection) NovoLog/NovoRapid (insulin aspart injection) Admelog (insulin lispro injection)
NCT05238142,Exclusion,"Has a history of 2 or more episodes of severe hypoglycemia, which resulted in any the following during the 6 months prior to screening: Medical assistance (i.e., Paramedics, Emergency Room [ER] or Hospitalization) Coma Seizures"
NCT02332824,Exclusion,"The participant has any of the cardiovascular diseases listed below: Cardiac diseases: angina pectoris, arrhythmia, and congested heart failure that requires medication Vascular diseases: arteriosclerosis obliterans with symptoms (e.g., intermittent claudication)"
NCT05232708,Exclusion,"Abuse or intake of drugs, defined as any of the below: Known or suspected drug or chemical substance abuse within 1 year before screening Positive drug of abuse test at screening"
NCT05816759,Inclusion,"Those who meet the criteria of anthropometric data Man: Body weight ≥ 50 kg, Body mass index 18 to 30 kg/m2 Woman: Body weight ≥ 45 kg, Body mass index 18 to 30 kg/m2"
NCT06246175,Inclusion,"Renal function, assessed by estimated glomerular filtration rate at screening (eGFR): Normal renal function: 90-129 mL/min (inclusive); Mild impairment: 60-89 mL/min (inclusive); Moderate impairment: 30-59 mL/min (inclusive); Severe impairment: 15-29 mL/min (inclusive);"
NCT01524770,Inclusion,The method may be one of the following: condom with spermicidal agent male participant sterilization true abstinence (which is in line with the participant's usual lifestyle choice; withdrawal or calendar methods are not considered acceptable)
NCT01427699,Exclusion,"Infectious disease: CRP >30 mg/L, fever, or infection requiring treatment with antibiotics within 3 weeks prior to Screening History of recurrent infection or predisposition to infection Active leg or foot ulcer"
NCT05054842,Exclusion,"General situation: 1) Known or suspected allergy to DPP4i drugs or investigational drug excipients; 2) Pregnant or lactating women, fertile men or women were unwilling to use contraception during the study period;"
NCT02183415,Inclusion,Glycosylated haemoglobin A1 (HbA1c) ≤ 8.5 % at screening for patients treated with diet and exercise and/or one oral hypoglycaemic agent or ≤ 8.0 % at screening for patients treated with two oral hypoglycaemic agents
NCT04150107,Inclusion,T1D subjects must have: A documented history of type 1 diabetes for at least 6 months Should be on an MDI regimen C peptide levels of ˂ 0.7 ng/mL HbA1C ≥ 6.5% to ≤10%
NCT02152371,Inclusion,"Are females of childbearing potential who must: Test negative for pregnancy at screening, based on a serum pregnancy test Agree to use a reliable method of birth control Not be breastfeeding"
NCT03368807,Exclusion,Currently undergoing systemic treatment with: Immunosuppressive medication Chronic (lasting longer than 2 weeks) systemic glucocorticoid therapy (excluding topical and inhaled preparations) or have received such therapy within the prior 2 weeks
NCT00385697,Inclusion,"One positive result on testing for any of the following antibodies: islet-cell autoantibodies (ICA512/IA-2), glutamic acid decarboxylase autoantibodies, or insulin autoantibodies (if present during first 2 weeks, but not beyond 2 weeks, of insulin treatment)"
NCT00385697,Inclusion,Subject must be in one of the following age groups: Age 18-35 years Age 12-17 years pending approval by Data Monitoring Committee Age 8-11 years pending approval by Data Monitoring Committee
NCT05363761,Exclusion,Currently taking the following medications within 90 days prior to screening and/or there is a need or anticipated need for these medications during the study: Systemic Corticosteroids Anticonvulsants Centrally acting sympatholytics
NCT06037252,Exclusion,"Have any of the following cardiovascular (CV) conditions within 2 months prior to screening. acute myocardial infarction. cerebrovascular accident (stroke). unstable angina . hospitalization due to congestive heart failure, or coronary artery revascularization."
NCT05462756,Exclusion,"Are currently receiving any of the following insulin therapies anytime in the past 90 days: insulin mixtures insulin human, inhalation powder, or continuous subcutaneous insulin infusion therapy, or regular insulin U-500"
NCT04255433,Exclusion,"Have a serum calcitonin level at screening of: (based on central laboratory results) ≥20 ng/L at Visit 1, if eGFR ≥60 mL/min/1.73
m2, or ≥35 ng/L at Visit 1, if eGFR <60 mL/min/1.73
m2"
NCT03604198,Inclusion,Major Inclusion Criteria: Have completed a Corcept-sponsored study of relacorilant in endogenous Cushing syndrome with at least 80% compliance with the dosing schedule. According to the Investigator's opinion will benefit from continuing treatment with relacorilant
NCT02079805,Exclusion,"Receiving or requiring any of the following at the time of informed consent: Insulin, glucagon-like peptide-1 (GLP-1) receptor agonists, or other parenteral hypoglycemic agents Combination therapy with 3 or more oral hypoglycemic agents"
NCT00995345,Exclusion,"Presence of any of the following conditions: Significant renal impairment (glomerular filtration rate less than 60 mL/min); Diabetic gastroparesis; Active liver disease (other than asymptomatic nonalcoholic fatty liver disease), cirrhosis, or symptomatic gallbladder disease;"
NCT00770445,Inclusion,Treatment with the following insulins with or without Oral Antidiabetic Therapy since 3 months: Long acting basal insulin analogs NPH insulin Combination insulin with 1-2 daily doses except intensified insulin therapies.
NCT04285554,Exclusion,Currently taking the following medications within 90 days prior to screening and/or there is a need or anticipated need for these medications during the study: Systemic corticosteroids Anticonvulsants Centrally acting sympatholytics
NCT00373425,Inclusion,Able to start drug under the following timelines: 6 months from the day of surgery for patients who get chemotherapy 3 months from the day of surgery for those who do not get chemotherapy
NCT04541706,Inclusion,"Adequate hematologic and renal function as defined as: Absolute neutrophil count (ANC) ≥1,000/mm3; Platelets ≥50,000/mm3; Hemoglobin ≥8 g/dL; Estimated creatinine clearance ≥30 mL/min as calculated using the method standard for the institution."
NCT04541706,Inclusion,"Adequate liver function, including: Total serum bilirubin ≤1.5 × upper limit of normal (ULN); Aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤2.5 × ULN (≤5.0 × ULN in case of liver metastases)."
NCT04541706,Inclusion,"Adequate pancreatic function, including: Serum total amylase ≤1.5 × ULN.* Serum lipase <1.5 × ULN.
*if total amylase >1.5 × ULN, but pancreatic amylase is within the ULN, the participant may be enrolled."
NCT03023423,Exclusion,"Received any of the following prescribed medications or therapies in the past: Anti-cluster of differentiation(CD)38 therapy, including daratumumab CD137 agonists, immune checkpoint inhibitors including but not limited to CTLA-4, anti-PD-1, and anti-PD-L1 therapies"
NCT00540514,Inclusion,Patient has the following blood counts at baseline: Absolute neutrophil count (ANC) greater than or equal to 1.5x10^9/L Platelets greater than or equal to 100x10^9/L Hemoglobin (Hgb) greater than or equal to 9 g/dL
NCT02395172,Exclusion,"All participants with brain metastases, except those meeting the following criteria: Brain metastases have been treated locally, and No ongoing neurological symptoms that are related to the brain localization of the disease"
NCT03743064,Exclusion,"Patient with cachexia caused by other reasons, as determined by the investigator such as: Severe COPD requiring use of home O2, New York Heart Association (NYHA) class III-IV heart failure AIDS Uncontrolled thyroid disease"
NCT03909971,Inclusion,"Subject should have: (in Cohort 1) Disease progression after crizotinib as the only ALK inhibitor; (in Cohort 2) Disease progression after one ALK inhibitor other than crizotinib, with or without prior crizotinib."
NCT03743051,Exclusion,"Patient with cachexia caused by other reasons, as determined by the investigator such as: Severe COPD requiring use of home O2, New York Heart Association (NYHA) class III-IV heart failure AIDS Uncontrolled thyroid disease"
NCT02573857,Inclusion,"Normal vital signs after 5 minutes resting in supine position: 90 mmHg < systolic blood pressure (SBP) <140 mmHg, 50 mmHg < diastolic blood pressure (DBP) <90 mmHg, 40 bpm< heart rate (HR) <100 bpm."
NCT00157859,Exclusion,"Pregnancy or lactation -Inability to tolerate oral treatment -Signs/symptoms indicative of severe/complicated malaria or warning signs requiring parenteral treatment -Known hypersensitivity or allergy to artemisinin derivatives -Serious underlying disease (cardiac, renal or hepatic) -Parasitaemia >4%"
NCT05252845,Exclusion,Administration of immunoglobulins and/or any blood products during the period starting three months before the first dose of study vaccine or planned administration during the study period. subject to the investigator's judgement
